
File	Size
Day - 01 (07_06_23)/01. 02. 03. Curriculum/0. Topic List.jpg	107.99 KiB
Day - 01 (07_06_23)/01. 02. 03. Curriculum/Delta.pdf	348.12 KiB
Day - 01 (07_06_23)/04. Introduction/0. Topic List.jpg	115.16 KiB
Day - 01 (07_06_23)/04. Introduction/01. Welcome to Delta!.mp4	64.81 MiB
Day - 01 (07_06_23)/04. Introduction/02. What is the Internet.mp4	67.84 MiB
Day - 01 (07_06_23)/04. Introduction/03. What is Web Development.mp4	70.42 MiB
Day - 01 (07_06_23)/04. Introduction/04. What will we learn.mp4	9.83 MiB
Day - 01 (07_06_23)/05. Prerequisites/0. Topic List.jpg	69.12 KiB
Day - 01 (07_06_23)/05. Prerequisites/01. Prerequisites.mp4	31.39 MiB
Day - 01 (07_06_23)/05. Prerequisites/02. Installation Guide.pdf	64.49 KiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/0. Topic List.jpg	180.69 KiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/01. Introduction to HTML.mp4	31.84 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/02. HTML Elements & Tags.mp4	25.91 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/03. Hello World.mp4	43.19 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/04. Paragraph Element.mp4	26.53 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/05. Heading Elements.mp4	32.75 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/06. Practice Qs.mp4	48.32 MiB
Day - 01 (07_06_23)/06. HTML (Level 1) - Part A/07. Boilerplate Code.mp4	66.21 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/0. Topic List.jpg	36.75 KiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/01. Lists in HTML.mp4	30.76 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/02. Attributes in HTML.mp4	13.20 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/03. Anchor Element.mp4	44.41 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/04. Image Element.mp4	79.88 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/05. Practice Qs.mp4	24.58 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/06. More HTML Tags.mp4	22.69 MiB
